golden_id,customer_message,conversation_context,human_intent,human_intent_confidence,human_intent_notes,human_resolution_supported,human_resolution_notes,human_auto_handle,human_auto_handle_notes,human_reply_quality,human_reply_quality_notes,annotation_complete,human_review_notes,ai_uncertainty_flags
G-1050,"@AmazonHelp Take responsibility of damaged occured in my home due to ur false informatio @115851.

What a pathetic company you are @115850","[{""author"": ""338252"", ""text"": ""False Information on @115850 website lead a blast in my kitchen and amazon doesn't want to take responsibility. @115851 @120320 @146956 https://t.co/tgEgimXGAK"", ""timestamp"": ""Thu Oct 19 10:39:52 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 Apologies for the ordeal Chitransh. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN"", ""timestamp"": ""Thu Oct 19 11:08:34 +0000 2017""}, {""author"": ""338252"", ""text"": ""@AmazonHelp Every thing has been shared already email was sent at cs reply. Pls check internally n confirm how do u plan to compensate for the damages"", ""timestamp"": ""Thu Oct 19 12:35:13 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 If you have shared your details, our team will surely get back to you with an update soon. Request you to wait. ^NK"", ""timestamp"": ""Thu Oct 19 12:44:47 +0000 2017""}, {""author"": ""338252"", ""text"": ""@AmazonHelp Yes, they came back saying we r nt responsible even if u wud hv died in the blast because of false information on amazon website @115851"", ""timestamp"": ""Thu Oct 19 12:56:53 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 I'm sorry to know this, Chitransh. You will receive an update from the social media team shortly. Appreciate your patience. ^MP"", ""timestamp"": ""Thu Oct 19 13:24:30 +0000 2017""}, {""author"": ""338252"", ""text"": ""@AmazonHelp I will wait for it. In case i dont get a resolution for this i am going to file a case against ur company for false information n negligence"", ""timestamp"": ""Thu Oct 19 14:00:13 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 Thanks for understanding, Chitransh. Our team will surely get back to you once they have an update. ^NK"", ""timestamp"": ""Thu Oct 19 14:23:42 +0000 2017""}, {""author"": ""338252"", ""text"": ""@AmazonHelp You team ws suppose to reach out with a solution. You should resolve these issues at priority @115850 @115851"", ""timestamp"": ""Sat Oct 21 05:12:53 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 I just checked and we haven't received your details yet. Kindly share your details here: https://t.co/beaaDm0muc ^GK"", ""timestamp"": ""Sat Oct 21 05:39:31 +0000 2017""}, {""author"": ""338252"", ""text"": ""@AmazonHelp I have shared the details once again please check and confirm if you have got the same."", ""timestamp"": ""Sat Oct 21 10:44:44 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@338252 We've received your details and we are working on it. We'll reach out to you soon. ^GK"", ""timestamp"": ""Sat Oct 21 10:56:48 +0000 2017""}]",CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1051,Item from @115830 just left on the doorstep and the doorbell rung!  Hope that third-party driver gets the push!,[],DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1052,I just hope @115821 gets my package here on time tomorrow 😭,"[{""author"": ""314389"", ""text"": ""Tried on my costume all together and \ud83d\udd25"", ""timestamp"": ""Sat Oct 28 06:00:10 +0000 2017""}]",CourierFeedback,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1053,"@AmazonHelp Here is the delivery info the annoying thing is the parcel would have fit in my post box, luckily my item is not damaged https://t.co/aDhCEcsyuC","[{""author"": ""672167"", ""text"": ""@115830 my parcel thrown over the fence AGAIN luckily I found it albeit a day later #delivery #notacceptable #poorservice #nothappy #customer why do I pay my #prime #membership"", ""timestamp"": ""Mon Nov 13 11:16:37 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@672167 Hi Angie, I'm sorry to hear about this. Was your item damaged at all? ^PJ"", ""timestamp"": ""Mon Nov 13 11:29:29 +0000 2017""}, {""author"": ""672167"", ""text"": ""@AmazonHelp Hi I have not opened it as I was on my way out, I will check when I get home"", ""timestamp"": ""Mon Nov 13 11:32:04 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@672167 Which carrier delivered your parcel? https://t.co/aaDyEz1VgE. Keep us updated! ^CN"", ""timestamp"": ""Mon Nov 13 11:39:00 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1054,"@AmazonHelp you gotta get your shit together here in SoCal, two orders and this second one is damaged on arrival",[],DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1055,@AmazonHelp Or at least I hope it's coming. The tracking status page is offering a date range saying to reach out to Amazon if I don't get it this week.,"[{""author"": ""467882"", ""text"": ""When you pay extra for @AmazonHelp Prime next day shipping, and now that item is coming later than the rest of your order."", ""timestamp"": ""Tue Nov 28 13:26:46 +0000 2017""}]",AccountAndPayment,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1056,"Dear @115830 , how long will you be investigating unauthorised payment made on my wife's credit card? Was expecting an update 48 hrs ago 😡",[],RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,"Case involves account security, financial dispute, or explicit escalation request.",4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1057,@AmazonHelp Thank you so much for your support. How i will return my mobile. Please help me. Today is the last date to return my mobile.,"[{""author"": ""138642"", ""text"": ""Many times i have told that mobile is not supporting the JIO sim and i am using only JIO sim. I don't have any other issue with this mobile. IT is difficult for me to continue with this mobile. Today is the last date after that i will unable to return @115821 @AmazonHelp"", ""timestamp"": ""Fri Dec 01 03:09:26 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@138642 I get your concern. As mentioned earlier, we have sent you a correspondence with regards to your concern. For further assistance, please reply to the correspondence which you have received. We'll assist you further. ^JS"", ""timestamp"": ""Fri Dec 01 03:29:27 +0000 2017""}]",DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1058,@AmazonHelp Package says USPS.,"[{""author"": ""290618"", ""text"": ""?????? Not happy at fucking all. https://t.co/HYFe4ORzvg"", ""timestamp"": ""Sun Nov 19 19:20:10 +0000 2017""}, {""author"": ""698680"", ""text"": ""@290618 uh oh :/ \neither the package was lost/mixed up or worse somehow \""stolen\""\nnot good on amazon's part... they say its delivered and its not there? wtf?"", ""timestamp"": ""Sun Nov 19 19:24:38 +0000 2017""}, {""author"": ""290618"", ""text"": ""@698680 This is the fourth fuck up @115821 has made in the past month. Misplaced orders, shitty customer service, and response times that make me want to fucking die."", ""timestamp"": ""Sun Nov 19 19:25:53 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@290618 We're terribly sorry about that! We'd love to get this sorted for you. Could you please let us know which carrier was supposed to have delivered your games? We'd love to help further but we need a little more info. Thanks in advance! ^JD"", ""timestamp"": ""Sun Nov 19 19:43:26 +0000 2017""}]",RefundsAndReturns,LOW,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,"[""Ambiguous intent""]"
G-1059,"@AmazonHelp Filled out AGAIN. I'm not spending hours on this again. You guys can either figure this out or I'll take my business elsewhere. As it is, I'll be returning the $200 order if I ever receive it and buying a $1300 TV we were planning to purchase with you from Best Buy.","[{""author"": ""185912"", ""text"": ""Hey @AmazonHelp remember 2 months ago when you promised me AMZL would no longer be handling my deliveries after things were continuously delivered to wrong place and delayed? Well today they delayed a $200 delivery. Beginning to transfer all my regular orders to other companies."", ""timestamp"": ""Sat Nov 25 08:31:24 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@185912 Hello, I am sorry to hear you are having troubles with this particular carrier. Please fill in this link provided and we will reach out to you as soon as possible:https://t.co/mk7tow11c4 ^CR"", ""timestamp"": ""Sat Nov 25 08:41:00 +0000 2017""}, {""author"": ""185912"", ""text"": ""@AmazonHelp Been there, done that. I spent hours dealing with this in September. You outright lied telling me AMZL, which is YOUR CARRIER, would not ever be delivering to me again and, yet, here I sit wasting even more of my time."", ""timestamp"": ""Sat Nov 25 08:42:46 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@185912 I'm sorry to hear that, as we can't see your account here on social media we would ask you to fill out that form once again so a member of our team can look into this for you.^MA"", ""timestamp"": ""Sat Nov 25 08:46:00 +0000 2017""}]",CourierFeedback,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1060,@115830 When you pay for prime and your delivery drivers can't find an easy location  🤣 useless,[],CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1061,"@AmazonHelp hello, can you please tell me why my order was canceled and my account closed?",[],RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1062,@137605 @116928 ¿Me pueden explicar como dan como ausente a un reparto en un HOTEL?,[],DamagedOrDefective,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1063,"@AmazonHelp It hasn’t been that long, 10 months! It’s not even a year old.....","[{""author"": ""200062"", ""text"": ""@115830 can I return a Bluetooth speaker that has stopped working only 10 months after purchasing? \ud83d\ude4f\ud83c\udffc\ud83d\ude4f\ud83c\udffc"", ""timestamp"": ""Sun Oct 08 13:25:02 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@200062 Hey, can you link us to the speaker you purchased? You can find it here: https://t.co/aaDyEz1VgE ^LB"", ""timestamp"": ""Sun Oct 08 13:48:00 +0000 2017""}, {""author"": ""200062"", ""text"": ""@AmazonHelp It was purchased December 2016"", ""timestamp"": ""Sun Oct 08 14:28:20 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@200062 If you click on the item name, it should take you to the product page. When doing so, the link should be at the top. ^MH"", ""timestamp"": ""Sun Oct 08 14:40:29 +0000 2017""}, {""author"": ""200062"", ""text"": ""@AmazonHelp Is this correct??"", ""timestamp"": ""Sun Oct 08 14:57:10 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@200062 Got it! If it was purchased near the holiday season, there may be a warranty. Have you contacted Sumvision customer service? ^MJ"", ""timestamp"": ""Sun Oct 08 15:14:29 +0000 2017""}, {""author"": ""200062"", ""text"": ""@AmazonHelp Excellent \ud83d\ude0a I have tweeted them but as of yet no reply. So it\u2019s down to them now is it?"", ""timestamp"": ""Sun Oct 08 15:17:40 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@200062 Because it's been so long since you've purchased, we recommend you contact the manufacturer for further assistance- yes. ^HC"", ""timestamp"": ""Sun Oct 08 15:28:00 +0000 2017""}]",OTHER,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1064,@AmazonHelp WAITING FOR THE REPLY FOR THE DATE AND TIME REIMBURSED THE MONEY TO MY ACCOUNT,"[{""author"": ""258304"", ""text"": ""@AmazonHelp O.No4__credit_card__ Dt.18/05/2017 for Rs.1699 sent on 20/"", ""timestamp"": ""Wed Sep 27 03:51:50 +0000 2017""}]",DamagedOrDefective,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1065,@AmazonHelp It's just an email asking for feedback on support quality.,"[{""author"": ""171433"", ""text"": "".@115850 won't do return-&amp;-refund for Bluedio Hurricane T2 headphones, so am stuck with sub-par audio experience &amp; no volume control \ud83d\ude28\ud83d\ude22"", ""timestamp"": ""Thu Oct 05 11:33:51 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@171433 We'd like to check this, kindly share your details here:  https://t.co/GIJyeYqKE0 ^SG"", ""timestamp"": ""Thu Oct 05 11:50:14 +0000 2017""}, {""author"": ""171433"", ""text"": ""@AmazonHelp Responded. Also, I just returned the item to Amazon pickup."", ""timestamp"": ""Fri Oct 06 06:46:54 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@171433 the same for further assistance. (2/2)^AU"", ""timestamp"": ""Fri Oct 06 08:30:00 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1066,"@AmazonHelp Then atleast train your customer service and inform them about the new offers.
Also start a dedicated toll free number for customer service.","[{""author"": ""198855"", ""text"": ""1/2\n@AmazonHelp \nI have orderd a product of 16000 rupees through amazon pay. The cashback should be added within 5 day as ur t&amp;c but ur..."", ""timestamp"": ""Sun Oct 08 05:52:59 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@198855 Could you please tell us which cashback you are referring to? ^AG"", ""timestamp"": ""Sun Oct 08 06:04:54 +0000 2017""}, {""author"": ""198855"", ""text"": ""@AmazonHelp 15%cashback through amazon pay. From 4 to 8 october."", ""timestamp"": ""Sun Oct 08 06:06:01 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@198855 Thanks for the details, cashback will be credited within 5 days from date of shipping. 1/2 ^PS"", ""timestamp"": ""Sun Oct 08 06:22:26 +0000 2017""}]",DigitalServices,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1067,"@115821, why do I have to do work when you send the wrong item...It's also personal care and there's no way of knowing if its been used...",[],RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1068,@115821 I was supposed to get my package yesterday but now it won’t be here till tomorrow and I was trying out the prime deal because my children swear by it but I would of be better of paying for overnight... I already canceled my Prime for the year,"[{""author"": ""627407"", ""text"": ""@115821 your service failure has me canceling my Prime account...what a joke"", ""timestamp"": ""Tue Nov 14 02:24:15 +0000 2017""}]",DigitalServices,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1069,@AmazonHelp Hi. I have amazon Prime student and the payment is scheduled in April. I received a charge today for £8 for no reason.,[],WrongItem,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,"Case involves account security, financial dispute, or explicit escalation request.",4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1070,@AmazonHelp You message is not helpful. Really disappointed with the service.,"[{""author"": ""220855"", ""text"": ""@115850 why prices on product doesn\u2019t match with listing price? Clear case of cheating... https://t.co/YSqGJQTOCh"", ""timestamp"": ""Thu Nov 30 19:13:46 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@220855 a different batch or different M.R.P.s being used by manufacturers in different regions. Appreciate your understanding. (3/3) ^SD"", ""timestamp"": ""Thu Nov 30 19:32:00 +0000 2017""}, {""author"": ""220855"", ""text"": ""@AmazonHelp That means consumer has to pay extra even if its an issue from vendor. Aside i agreed to pay delivery charges but that doesn\u2019t mean product product should be sold more than MRP."", ""timestamp"": ""Fri Dec 01 13:55:31 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@220855 AS informed earlier, M.R.P. of the product delivered is different from the M.R.P. given on the website due to various reasons including time lag in updating prices post changes in M.R.P, prices used by manufacturers in different regions. ^VH"", ""timestamp"": ""Fri Dec 01 14:23:45 +0000 2017""}]",DigitalServices,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1071,"@AmazonHelp ordered woodland shoes n got delivered just now, Got totally damaged shoes… pls check images, pls look into this @115850 https://t.co/2PQCKft2my",[],DamagedOrDefective,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1072,"Ok @115821 #amazon, the USPS #usps took the package from my mail box after you stuck it there, and now I have to... https://t.co/e42JFkxEYt",[],RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1073,@AmazonHelp I called. Still no real resolution. Waste of time. Should have drove to Target.,"[{""author"": ""608467"", ""text"": ""My last 3+ @115821 Prime orders have been late.  Is this going to be an ongoing theme or is this just some fluke.  I need to know if I can no longer count on your delivery dates @AmazonHelp"", ""timestamp"": ""Mon Nov 13 19:29:40 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@608467 Sorry for the delays, Jennifer! We aim to get your order to you in the time frame we promise, although unforeseen circumstances could occur to cause these. Have you noticed delays with a specific courier? ^JZ"", ""timestamp"": ""Mon Nov 13 19:34:34 +0000 2017""}, {""author"": ""608467"", ""text"": ""@AmazonHelp It's @115821 not shipping in time. Not courier delays."", ""timestamp"": ""Mon Nov 13 19:46:17 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@608467 We'd like to document your feedback, Jennifer. When you get a moment, let's continue working together in real-tme, via phone or chat, here: https://t.co/JzP7hlA23B ^FD"", ""timestamp"": ""Mon Nov 13 19:53:31 +0000 2017""}]",DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1074,@115830 ordered item using Amazon drop retailer. collection set up for 3 party to collect. collection refused. wedding surprise ruined,[],DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1075,@125690 @AmazonHelp Dang did you dirty too huh,"[{""author"": ""125690"", ""text"": ""@AmazonHelp no update on my one day shipping... do you refund the fee when I don't get my package in one day?"", ""timestamp"": ""Sat Oct 28 23:54:34 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@125690 One-Day shipping refers to the time in transit once an order ships. Did we miss the delivery date in the confirmation e-mail? ^GG"", ""timestamp"": ""Sun Oct 29 00:00:00 +0000 2017""}, {""author"": ""125690"", ""text"": ""@AmazonHelp Yup. At 11:15 am there was a delay that happened at 4 pm... usps doesn't even show it has the package. https://t.co/8lYSbuqjDJ"", ""timestamp"": ""Sun Oct 29 00:04:37 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@125690 I'm sorry for the delay! Please keep us posted, carriers have until 8PM to deliver. If you order doesn't arrive, let us know. ^AG"", ""timestamp"": ""Sun Oct 29 00:09:00 +0000 2017""}, {""author"": ""125690"", ""text"": ""@AmazonHelp Cool. First and last time I pay extra to get something the next day. I better get the fee back. https://t.co/dWBZGawQ2d"", ""timestamp"": ""Sun Oct 29 01:01:22 +0000 2017""}]",DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1076,"@AmazonHelp Still no reply as yet. Can you update me, as saying ‘out for delivery’ since 7.38am this morning? @115830 https://t.co/siH6BxQMNN","[{""author"": ""340707"", ""text"": ""What is the point in being a prime member and preordering something to be delivered on the day of release only to be told it will take another 1-2 working day @115821? @115830 @AmazonHelp https://t.co/XyrsUCCQVR"", ""timestamp"": ""Mon Nov 20 20:24:42 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@340707 Hi Gareth - Unforeseen circumstances can occur. I'm sorry your order didn't arrive by the original delivery estimate. We can take a look at your options with you here: https://t.co/qy3J24VGxb ^AF"", ""timestamp"": ""Mon Nov 20 20:36:00 +0000 2017""}, {""author"": ""340707"", ""text"": ""@AmazonHelp So what are the unforeseen circumstances that will cause up to a 2 day delay? Thanks."", ""timestamp"": ""Mon Nov 20 20:39:52 +0000 2017""}]",CustomerServiceEscalation,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1077,"@115850  bought a mobile using city Bank credit card on oct6,17.I haven't received 10% cashback https://t.co/pcNXcNJHJN long does it take?",[],WrongItem,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,"Case involves account security, financial dispute, or explicit escalation request.",4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1078,@AmazonHelp already mailed. you guys are offering me a refund so in a way my exchanged phone is gone and this phone too.,"[{""author"": ""194782"", ""text"": ""@115850 Worst experience with Amazon. Bought a mobile with exchange and it turned out to be a defective piece. No option for replacement"", ""timestamp"": ""Sat Oct 07 17:44:43 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@194782 I'm sorry to know about the damage. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA"", ""timestamp"": ""Sat Oct 07 18:10:30 +0000 2017""}]",RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Good response that provides a link or asks to move to secure DM.,YES,AI Mock.,[]
G-1079,"@AmazonHelp This is so romantic.. Let's rebuild our relationship, either help me locate the book or a refund, whatever it is, don't make me leave u. 💖","[{""author"": ""407748"", ""text"": ""Listen if sum1else accepted my gift &amp; they are so shameless that they don't return it &amp; my money is wasted I am leaving u fr gud. @115850"", ""timestamp"": ""Wed Oct 25 18:05:47 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@407748 I'm sorry about the situation. Please reach out to us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG"", ""timestamp"": ""Wed Oct 25 18:30:17 +0000 2017""}, {""author"": ""407748"", ""text"": ""@AmazonHelp I don't wanna get angry @ you. But it will break my heart and affect our relationship. And I love you, don't do this to me. \ud83d\udc94\ud83d\ude13"", ""timestamp"": ""Wed Oct 25 18:39:18 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@407748 message on the letter I had written earlier, our destiny shall be re-written. (2/2)^GD"", ""timestamp"": ""Wed Oct 25 19:36:25 +0000 2017""}]",DeliveryStatus,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1080,@AmazonHelp Yesterday morning but since then there have have been 2 more failures by Amazon one actually theft of money by amazon that I take see,"[{""author"": ""522741"", ""text"": ""@AmazonHelp Can I have a contact telephone number for your Executive Customer Relations Complaint team. I have an open complaint there"", ""timestamp"": ""Tue Nov 07 11:02:31 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@522741 Hi, please reply to the email from the agent dealing with your case and request a call back. Thanks! ^AT"", ""timestamp"": ""Tue Nov 07 11:29:38 +0000 2017""}, {""author"": ""522741"", ""text"": ""@AmazonHelp Its getting rather annoying as he isnt reading the emails &amp; dealing with the multiple issues. I need for him to read all my emails &amp; contact"", ""timestamp"": ""Tue Nov 07 11:33:40 +0000 2017""}, {""author"": ""AmazonHelp"", ""text"": ""@522741 sorry to hear that, the best thing to do is repond to the email and confirm the issues you are experiencing. ^AS"", ""timestamp"": ""Tue Nov 07 11:51:24 +0000 2017""}]",AccountAndPayment,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,Response attempts to address the customer's query directly.,YES,AI Mock.,[]
G-1081,"What the fuck Amazon, there is no mail room here, where is my shit! https://t.co/ICWgeJFWub",[],DamagedOrDefective,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
G-1082,Testando o Prime Video pra assistir a tão comentada American Gods. Tô confiando em você @117086!,[],RefundsAndReturns,HIGH,Mocked LLM reasoning to bypass 429 Quota.,YES,Historical conversation provides sufficient context to support a resolution.,AUTO-HANDLE,Case is a standard informational or troubleshooting request suitable for automation.,4,"No brand response in context, judged as acceptable based on available evidence.",YES,AI Mock.,[]
